t_min,t_max
53855.831608,53855.8440045
53865.7567006,53865.7636571
53865.7742932,53865.7807868
53865.8314113,53865.8435764
53866.2366313,53866.2431594
53869.7180317,53869.7221757
53871.6394669,53871.643472
53874.3780088,53874.3870835
53874.4412032,53874.4502779
53874.5078699,53874.5169446
53874.7779743,53874.7870487
53874.8194673,53874.828542
53874.9078699,53874.9169446
53878.2163769,53878.2168546
53878.2198143,53878.220292
53880.5439466,53880.5491554
53881.0173377,53881.0225465
53881.1337495,53881.1389587
53881.1933447,53881.1985535
53881.4652892,53881.4704967
53882.058518,53882.0637272
53882.3326617,53882.3378705
53882.3992706,53882.4044794
53882.9511225,53882.9551302
53882.9987032,53883.0039124
53883.0653006,53883.0705094
53884.0769095,53884.0809172
53892.6755206,53892.684329
53892.6861225,53892.6949309
53892.8193284,53892.8281368
53893.5413421,53893.5501505
53893.551944,53893.5607528
53893.6745366,53893.6833454
53896.610694,53896.615382
53902.6734259,53902.6736144
53902.6793752,53902.6808944
53924.2206833,53924.2249777
53926.4436463,53926.4439503
53939.980232,53939.980536
53947.9378365,53947.9417834
53950.0021535,53950.0061008
53951.0010539,53951.0050012
53953.5243524,53953.5282983
53956.3229388,53956.3270005
53963.7577558,53963.7579438
53963.7741676,53963.7756872
53964.579411,53964.5834157
53965.2915287,53965.3068764
53965.4247351,53965.4400709
53965.557941,53965.5732772
53965.6911469,53965.7064831
53966.2905684,53966.3059046
53966.4237743,53966.4391105
53966.5569785,53966.5723133
53966.6901862,53966.7055224
53967.2230102,53967.2383464
53967.3562165,53967.3715524
53967.4894225,53967.5047587
53967.6226284,53967.6379646
53968.0433228,53968.0472701
53968.6369917,53968.640939
53969.4253484,53969.4382772
53974.7485658,53974.7487542
53974.764978,53974.7664972
53975.480788,53975.4956149
53975.6144225,53975.6292494
53975.747478,53975.762305
53976.0805317,53976.095359
53976.2137395,53976.2285664
53976.3469687,53976.3617957
53976.480198,53976.4950246
